"","Module","KO","Sub_MO","Class"
"90",M00095,K00626;K01641;K00021;K00869;K00938;K13273;K01597;K01823,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"91",M00096,K01662;K00099;K00991;K12506;K00919;K01770;K12506;K03526;K03527;K01823,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"92",M00097,K02291;K02293;K15744;K00514;K09835;K06443,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
"93",M00098,K01046;K12298;K16816;K13534;K14073;K14074;K14075;K14076;K22283;K14452;K22284;K14674;K14675;K17900;K01054;K25824,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"94",M00099,K00654;K04708;K04709;K04710;K24621;K24622;K23727;K04712;K01441;K12348;K12349,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"95",M00100,K04718;K01634,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"96",M00101,K00801;K00511;K01852;K05917;K00222;K19532;K07750;K07748;K13373;K09828;K01824;K00227;K00213,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"97",M00102,K00801;K00511;K01852;K05917;K00222;K07750;K07748;K09827;K00559;K09829;K00227;K09831;K00223,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"98",M00103,K07419;K07438,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"99",M00104,K00489;K12408;K07431;K00251;K00037;K00488;K08748;K01796;K10214;K12405;K08764;K11992,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"100",M00106,K08748;K00659,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"101",M00107,K00498;K00070,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"102",M00108,K00513;K00497;K07433,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"103",M00109,K00512;K00513;K00497 cytochrome P450; family 11; subfamily B1/B2 (steroid 11beta-monooxygenase) [EC:1.14.15.4] [RN:R02843];K00071;K15680,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"104",M00110,K00512;K00070;K07434,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"105",M00112,K09833;K12502;K18534;K09834;K05928,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"106",M00113,K00454;K01723;K10525;K05894;K10526;K00232;K10527;K07513,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"107",M00114,K01809;K17497;K00966;K10046;K14190;K10047;K17744;K00225,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"108",M00115,K00278;K06989;K03517;K00767;K00969;K06210;K01916;K01950,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"109",M00116,K02552;K02551;K08680;K02549;K01911;K01661;K19222;K02548;K03183,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"110",M00117,K03181;K18240;K03179;K03182;K03186;K18800;K00568;K03185;K03183;K03184;K06134,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"111",M00118,K11204;K11205;K01919;K21456;K01920,NA,Pathway modules; Amino acid metabolism; Other amino acid metabolism
"112",M00119,K00826;K00606;K00077;K01579;K01918;K13799,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"113",M00120,K00867;K03525;K01947;K09680;K01922;K21977;K13038;K01598;K13038;K02318;K00954;K02201 pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] [RN:R03035];K02318;K00859,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"114",M00121,K01885;K02492;K01845;K01698;K01749;K01719;K13542;K13543;K01599;K00228;K02495;K00230;K00231;K08973;K01772,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"115",M00122,K00798;K19221;K02232;K02225;K02227;K02231;K00768;K02226;K22316;K02233,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"116",M00123,K00652;K00833;K19563;K19562;K01935;K01012,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"117",M00124,K03472;K03473;K00831;K00097;K03474;K00275,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"118",M00125,K01497;K14652;K01498;K11752;K00082;K11752;K22912;K20860;K20861;K20862;K21063;K21064;K02858;K14652;K00794;K00793;K20884;K11753;K22949;K11753,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
