,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
met_Beta-hydroxy_ketones,4.265692371327413e-05,0.00018684430425969998,5.634891261564444e-05,0.0002398386784599091,0.0001717647365169143,0.00028811968843434
met_Beta-keto_acids_and_derivatives,2.307019393149213e-05,0.0003630137779179,8.311930316348756e-05,0.0005033134161608,0.0004610571678496643,0.00042707900376513336
met_Bicyclic_monoterpenoids,0.00040065235768305005,0.00035728584596355,0.00023004197381785,0.0003805095421241727,0.00036656906915242144,0.0002929595888183733
met_Biguanides,0.00029998823085751664,0.0002127922633658375,0.00025750374953475,0.0002638528738732363,0.00021542628283114192,0.00028401456581676
"met_Bile_acids,_alcohols_and_derivatives",0.0008100251355866667,0.000676100652627225,0.0005487453963737,0.0006080258981714818,0.0004915947259571143,0.0009211456680319533
met_Bisphosphonates,0.00027447647251683334,0.0002707326017673375,0.00018928525559535,0.00025459776314005453,0.0002884649387207571,0.00021296963679319332
met_Boronic_acid_derivatives,5.6333260202714536e-05,0.0001848528873878875,1.1403096488255325e-05,0.00014973416132988988,0.00013856152664273823,0.00012755513372186304
met_Monoalkylboranes,5.6333260202714536e-05,0.0001848528873878875,1.1403096488255325e-05,0.00014973416132988988,0.00013856152664273823,0.00012755513372186304
met_Branched_fatty_acids,0.04642086961889025,0.018692065386548013,0.0126763794547313,0.021980027328275253,0.021026811850075055,0.025277144802869574
met_Branched_unsaturated_hydrocarbons,0.0015867248991062834,0.00132528218105445,0.00134232008068175,0.0010246276219078728,0.0011497545912938286,0.0011335873656267601
met_Butenolides,0.0003113090574438666,0.000759691720102825,0.00035235585363485003,0.0010871784143367637,0.0008856688751601429,0.0012960075712792536
met_Butyrophenones,0.00016445853357218332,9.769910518130338e-05,0.0001483155183248,0.00010760274056672855,9.605375951559642e-05,9.669744554802916e-05
met_Sugar_amino_acids_and_derivatives_+_4_others,9.534499269866449e-07,2.2616592370941533e-05,9.139453644594681e-06,6.707652968272592e-05,3.797606248833844e-05,4.483740030484224e-05
met_C-nitro_compounds,0.00036514701050761666,0.000521154159182675,0.00051527627117755,0.0007887374210167728,0.0006403347630324928,0.0007630053733079001
met_Carbamate_esters,0.0024928638910031,0.001348322736228925,0.0009143114138458501,0.0012869117117800455,0.002654602436716657,0.0015370377191115067
met_Carbamic_acids_and_derivatives,0.00286969917837125,0.00162458582022555,0.0012694362636530999,0.0015270087626788637,0.0029058939319987426,0.00183510389030224
met_Carbohydrates_and_carbohydrate_conjugates,0.017753520663870134,0.019873295533960326,0.013802794582864101,0.02316717605278491,0.020783010180988985,0.020789713933892187
met_Carbonyl_compounds,0.7681744104964743,0.7484839184514599,0.7546691663758514,0.7527088325529232,0.7460469648035125,0.7515841466230528
met_Carbothioic_S-esters,6.794649012105652e-05,6.467803090086754e-05,0.00010186592857812496,8.080348881101855e-05,8.60633197823299e-05,0.0001518349906023913
met_Carboximidamides,0.025914686307729848,0.02389242017795775,0.0218994575548849,0.024897950150402817,0.021891420788120706,0.024419608922492574
met_Carboxylic_acid_amides,0.5768611981385994,0.5396685639591284,0.5659378317223067,0.5257121435297861,0.5275659929389557,0.5174813239671363
met_Carboxylic_acid_derivatives,0.6902379357208029,0.6833353472663463,0.6749849957555101,0.6830798165891372,0.6740048113003008,0.681013780140537
met_Carboxylic_acid_esters,0.15051413151068296,0.16079542532402327,0.1229345851332096,0.1786394200431769,0.1653228154322066,0.18401135866587942
met_Carboxylic_acid_hydrazides,8.003251531151568e-05,0.000270727535319525,6.0697361075819585e-05,0.0004486485909045818,0.00029068073886757853,0.00040728310350009335
met_Carboxylic_acid_imides,0.00013143328028131666,0.0003398675881599125,0.0001618828750232,0.0005438684884216728,0.0004239277610668929,0.0006214812002355734
met_Carboxylic_acid_salts,0.0004548201218501,0.0006715581480099375,0.0005525163803199,0.0009208096337977455,0.0008661034742692572,0.0007914495769099466
met_Carboxylic_acids,0.23025657853104717,0.22496915955209612,0.2192380858796226,0.22857761382452518,0.2295269174422839,0.22818290441487568
met_Carboxylic_acids_and_derivatives,0.8046018220652494,0.7857187760015583,0.7738913296034029,0.7870576600075334,0.7817696521224196,0.7867263327503892
met_Ceramides,0.00010818864788123083,9.723600313984734e-05,0.0003577047383941219,7.427484469306236e-05,9.187595097872998e-05,8.89227083147765e-05
met_Cerveratrum-type_alkaloids,4.994019057685779e-05,3.820751709007079e-05,2.9352766138248227e-05,0.00012104383236600456,5.886491207996332e-05,0.0003227522818833432
